title,genre,language,rating,review,emotion
Forrest Gump,Drama,English,7.9,Heartwarming and beautifully acted.,happy
The Pursuit of Happyness,Drama,English,5.0,Heartwarming and beautifully acted.,happy
Inside Out,Animation,English,3.0,"Chilling and haunting, not for the faint-hearted.",fear
The Shawshank Redemption,Drama,English,5.9,Deeply introspective and touching.,lonely
The Notebook,Romance,English,7.1,"Chilling and haunting, not for the faint-hearted.",fear
The Dark Knight,Action,English,7.4,"A slow, quiet film that made me feel seen.",lonely
Avengers: Endgame,Action,English,5.9,Intense and suspenseful from start to finish.,fear
Inception,Sci-Fi,English,9.0,Totally unexpected twists!,surprise
Joker,Drama,English,5.1,Absolutely loved it! A feel-good masterpiece.,happy
Up,Animation,English,4.2,Intense and suspenseful from start to finish.,fear
Titanic,Romance,English,8.3,Totally unexpected twists!,surprise
La La Land,Musical,English,8.1,Totally unexpected twists!,surprise
The Revenant,Adventure,English,7.0,Made me laugh and cry — in a good way!,happy
The Godfather,Crime,English,3.5,A poignant reminder of isolation and hope.,lonely
Deadpool,Comedy,English,3.2,A poignant reminder of isolation and hope.,lonely
A Beautiful Mind,Biography,English,4.3,Left me feeling deeply moved and melancholic.,sad
Interstellar,Sci-Fi,English,9.3,Made me laugh and cry — in a good way!,happy
The Lion King,Animation,English,4.5,A touching and emotional story.,sad
Whiplash,Drama,English,5.9,Intense and suspenseful from start to finish.,fear
Coco,Animation,English,6.3,"Chilling and haunting, not for the faint-hearted.",fear
Slumdog Millionaire,Drama,English,3.2,"Chilling and haunting, not for the faint-hearted.",fear
The Social Network,Drama,English,5.4,Absolutely loved it! A feel-good masterpiece.,happy
Gravity,Sci-Fi,English,5.5,Left me feeling deeply moved and melancholic.,sad
Toy Story,Animation,English,7.1,Heartwarming and beautifully acted.,happy
Finding Nemo,Adventure,English,8.7,A rollercoaster of surprises.,surprise
Taare Zameen Par,Drama,Hindi,6.8,Heartwarming and beautifully acted.,happy
3 Idiots,Comedy,Hindi,3.5,A touching and emotional story.,sad
Barfi!,Romance,Hindi,7.0,Absolutely loved it! A feel-good masterpiece.,happy
Queen,Drama,Hindi,8.1,Heartwarming and beautifully acted.,happy
Swades,Drama,Hindi,3.1,A poignant reminder of isolation and hope.,lonely
PK,Comedy,Hindi,7.6,Made me laugh and cry — in a good way!,happy
Rang De Basanti,Drama,Hindi,6.1,Had me on edge the whole time.,fear
Kabir Singh,Drama,Hindi,6.7,Deeply introspective and touching.,lonely
Bajrangi Bhaijaan,Drama,Hindi,6.2,Deeply introspective and touching.,lonely
My Name is Khan,Drama,Hindi,8.7,Heartwarming and beautifully acted.,happy
Zindagi Na Milegi Dobara,Adventure,Hindi,3.3,A poignant reminder of isolation and hope.,lonely
Dangal,Drama,Hindi,5.8,Intense and suspenseful from start to finish.,fear
Chak De! India,Sport,Hindi,4.6,"Chilling and haunting, not for the faint-hearted.",fear
Lagaan,Drama,Hindi,8.8,Totally unexpected twists!,surprise
Black,Drama,Hindi,7.5,A touching and emotional story.,sad
Dil Chahta Hai,Comedy,Hindi,7.5,"Chilling and haunting, not for the faint-hearted.",fear
Andhadhun,Thriller,Hindi,9.3,Made me laugh and cry — in a good way!,happy
Bhoot,Horror,Hindi,4.8,Deeply introspective and touching.,lonely
Raazi,Drama,Hindi,5.4,Made me laugh and cry — in a good way!,happy
